"","session_ID","island_code","site_code","lat","long","session_year","session_date","start","end","flagged"
"1","2018-05-12_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-05-12,2018-05-12 20:55:00,2018-05-13 02:10:00,"N"
"2","2018-05-13_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-05-13,2018-05-13 20:39:00,2018-05-14 02:05:00,"N"
"3","2018-05-14_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-05-14,2018-05-14 20:52:00,2018-05-15 02:00:00,"N"
"4","2018-05-15_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-05-15,2018-05-15 20:38:00,2018-05-16 01:55:00,"N"
"5","2018-06-10_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-06-10,2018-06-10 22:00:00,2018-06-11 03:00:00,"N"
"6","2018-06-11_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-06-11,2018-06-11 21:03:00,2018-06-12 02:00:00,"N"
"7","2018-06-11_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-06-11,2018-06-11 21:21:00,2018-06-12 02:00:00,"N"
"8","2018-06-11_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-06-11,2018-06-11 21:09:00,2018-06-12 02:00:00,"N"
"9","2018-06-12_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-06-12,2018-06-12 21:00:00,2018-06-13 02:00:00,"N"
"10","2018-06-12_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-06-12,2018-06-12 20:55:00,2018-06-13 02:00:00,"N"
"11","2018-06-13_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-06-13,2018-06-13 09:00:00,2018-06-14 02:02:00,"N"
"12","2018-06-13_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-06-13,2018-06-13 20:53:00,2018-06-14 02:00:00,"N"
"13","2018-07-06_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-07-06,2018-07-06 21:06:00,2018-07-07 00:29:00,"N"
"14","2018-07-07_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-07-07,2018-07-07 21:00:00,2018-07-08 02:00:00,"N"
"15","2018-07-08_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-07-08,2018-07-08 21:00:00,2018-07-09 01:05:00,"N"
"16","2018-07-10_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-07-10,2018-07-10 20:48:00,2018-07-11 02:05:00,"N"
"17","2018-07-11_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-07-11,2018-07-11 21:00:00,2018-07-12 02:00:00,"N"
"18","2018-07-11_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-07-11,2018-07-11 20:40:00,2018-07-12 02:02:00,"N"
"19","2018-07-12_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-07-12,NA,2018-07-13 01:54:00,"Y"
"20","2018-08-06_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-08-06,2018-08-06 22:05:00,2018-08-07 02:03:00,"N"
"21","2018-08-08_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-08-08,2018-08-08 21:02:00,2018-08-09 02:00:00,"N"
"22","2018-08-09_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-08-09,2018-08-09 20:40:00,2018-08-10 02:01:00,"N"
"23","2018-08-10_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-08-10,2018-08-10 20:26:00,2018-08-11 02:00:00,"N"
"24","2018-08-11_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-08-11,2018-08-11 20:30:00,2018-08-12 02:02:00,"N"
"25","2018-08-13_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-08-13,2018-08-13 21:10:00,2018-08-14 02:10:00,"N"
"26","2018-08-14_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-08-14,2018-08-14 21:08:00,2018-08-15 01:50:00,"N"
"27","2018-08-15_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-08-15,2018-08-15 21:00:00,2018-08-16 02:11:00,"N"
"28","2017-05-25_SBI_AP","SBI","AP",33.487622,-119.028535,2017,2017-05-25,2017-05-25 21:25:00,2017-05-26 02:00:00,"N"
"29","2017-05-26_SBI_ESP","SBI","ESP",33.482528,-119.041599,2017,2017-05-26,2017-05-26 21:00:00,2017-05-27 02:00:00,"N"
"30","2017-06-19_SCI_SR","SCI","SR",34.047666,-119.547674,2017,2017-06-19,2017-06-19 21:05:00,2017-06-20 02:05:00,"N"
"31","2017-06-20_SCI_SR","SCI","SR",34.047666,-119.547674,2017,2017-06-20,2017-06-20 21:15:00,2017-06-21 00:00:00,"N"
"32","2017-06-22_SBI_AP","SBI","AP",33.487622,-119.028535,2017,2017-06-22,2017-06-22 20:30:00,2017-06-23 02:00:00,"N"
"33","2017-08-20_SCI_SR","SCI","SR",34.047666,-119.547674,2017,2017-08-20,2017-08-20 20:37:00,2017-08-21 02:00:00,"N"
"34","2016-05-02_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-05-02,2016-05-02 19:50:00,2016-05-03 02:00:00,"N"
"35","2016-05-03_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-05-03,2016-05-03 19:50:00,2016-05-04 02:00:00,"N"
"36","2016-05-04_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-05-04,2016-05-04 20:30:00,2016-05-05 01:51:00,"N"
"37","2016-05-04_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-05-04,2016-05-04 20:00:00,2016-05-05 02:00:00,"N"
"38","2016-05-05_SBI_AP","SBI","AP",33.487622,-119.028535,2016,2016-05-05,2016-05-05 21:30:00,2016-05-06 00:15:00,"N"
"39","2016-05-05_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-05-05,2016-05-05 20:30:00,2016-05-06 02:07:00,"N"
"40","2016-05-07_SBI_ESP","SBI","ESP",33.482528,-119.041599,2016,2016-05-07,2016-05-07 22:01:00,2016-05-08 01:56:00,"N"
"41","2016-06-01_SBI_AP","SBI","AP",33.487622,-119.028535,2016,2016-06-01,2016-06-01 21:00:00,2016-06-02 02:05:00,"N"
"42","2016-06-01_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-06-01,2016-06-01 20:25:00,2016-06-02 02:00:00,"N"
"43","2016-06-02_SBI_AP","SBI","AP",33.487622,-119.028535,2016,2016-06-02,2016-06-02 21:00:00,2016-06-03 02:05:00,"N"
"44","2016-06-02_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-06-02,2016-06-02 20:57:00,2016-06-03 02:00:00,"N"
"45","2016-06-03_SBI_ESP","SBI","ESP",33.482528,-119.041599,2016,2016-06-03,2016-06-03 20:46:00,2016-06-04 01:46:00,"N"
"46","2016-06-03_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-06-03,2016-06-03 20:45:00,2016-06-04 02:00:00,"N"
"47","2016-06-03_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-06-03,2016-06-03 20:51:00,2016-06-04 02:00:00,"N"
"48","2016-06-04_SBI_ESP","SBI","ESP",33.482528,-119.041599,2016,2016-06-04,2016-06-04 21:00:00,2016-06-05 00:03:00,"N"
"49","2016-06-04_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-06-04,2016-06-04 20:50:00,2016-06-05 02:00:00,"N"
"50","2016-06-05_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-06-05,2016-06-05 20:46:00,2016-06-06 02:00:00,"N"
"51","2016-07-05_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-07-05,2016-07-05 20:45:00,2016-07-06 01:50:00,"N"
"52","2016-07-06_SBI_AP","SBI","AP",33.487622,-119.028535,2016,2016-07-06,2016-07-06 20:30:00,2016-07-07 02:00:00,"N"
"53","2016-07-06_SCI_SR","SCI","SR",34.047666,-119.547674,2016,2016-07-06,2016-07-06 20:50:00,2016-07-07 02:00:00,"N"
"54","2016-07-06_SMI_PI","SMI","PI",34.056323,-120.332024,2016,2016-07-06,2016-07-06 20:44:00,2016-07-07 02:00:00,"N"
"55","2016-07-07_SBI_ESP","SBI","ESP",33.482528,-119.041599,2016,2016-07-07,2016-07-07 20:45:00,2016-07-08 02:02:00,"N"
