"","catch_ID","session_ID","month","day","year","island_code","subisland_code","site_code","lat","long","capture_time","capture_hour","capture_min","release_time","species","band_no","recapture","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","sex","measurers","flagged","notes"
"1","20050707_SCI_ND_01","20050707_SCI_ND",7,7,2005,"SCI","SR","ND","ND","ND","7/8/2005 3:20",3,20,"7/8/2005 3:32","CAAU","1313-70010","N","N","ND","200","31","169","ND","ND","ND","ND","ND","ND","JA","N","TDR = 9985"
"2","19940514_ANI_RR_01","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60726","Y","N","0","31","0","31","14.3","ND","21.6","136","ND","ND","HRC, MOP","N",NA
"3","19940514_ANI_RR_02","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 20:59",20,59,"ND","ASSP","1401-60783","N","N","0","35","0","35","14.3","ND","22.9","131","ND","ND","HRC, MOP","N",NA
"4","19940514_ANI_RR_03","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60784","N","N","0","26","0","26","13.7","ND","20.6","130","ND","ND","HRC, MOP","N",NA
"5","19940514_ANI_RR_04","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 22:25",22,25,"ND","ASSP","1401-60785","N","N","4","35","0","35","15","ND","23.9","135","ND","ND","HRC, MOP","N",NA
"6","19940514_ANI_RR_05","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:01",23,1,"ND","ASSP","1401-60786","N","N","4","38","0","38","14.3","ND","23.7","133","ND","ND","HRC, MOP","N",NA
"7","19940514_ANI_RR_06","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:18",23,18,"ND","ASSP","1401-60787","N","N","1","33","0","33","13.9","ND","22.6","130","ND","ND","HRC, MOP","N",NA
"8","19940514_ANI_RR_07","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:35",23,35,"ND","ASSP","1401-60788","N","N","3","44","0","44","13.8","ND","20","143","ND","ND","HRC, MOP","N",NA
"9","19940514_ANI_RR_08","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/14/1994 23:38",23,38,"ND","ASSP","1401-60789","N","N","0","44","0","44","14.2","ND","22.5","133","ND","ND","HRC, MOP","N",NA
"10","19940514_ANI_RR_09","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/15/1994 0:01",0,1,"ND","ASSP","1401-60790","N","N","4","36","0","36","14.2","ND","21.7","139","ND","ND","HRC, MOP","N",NA
"11","19940514_ANI_RR_10","19940514_ANI_RR",5,14,1994,"ANI","WAI","RR","34.013764","-119.442644","5/15/1994 1:03",1,3,"ND","ASSP","1401-60791","N","N","0","36","0","36","14.4","ND","22","142","ND","ND","HRC, MOP","N",NA
"12","20040819_SCI_ND_01","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:07",21,7,"8/19/2004 21:28","ASSP","1901-38340","N","N","4.5","64","27","37","14.88","37.59","23.26","138","ND","F","JA","N","RADIO = 4680; PUKED OIL - FULL BELLY"
"13","20040819_SCI_ND_02","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:07",21,7,"8/19/2004 21:17","ASSP","1901-38341","N","N","0","58","26","32","13.89","37.23","24.05","138","ND","ND","HMN","N","SECOND COVERTS VERY WORN/EATEN, PRIM WORN-FEATHER MITES"
"14","20040819_SCI_ND_03","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 21:19",21,19,"8/19/2004 22:29","ASSP","1901-38342","N","N","0","62","26","36","14.09","39.72","23.04","142","ND","ND","HMN","N","PUKED OIL"
"15","20040819_SCI_ND_04","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:36",22,36,"8/19/2004 22:49","ASSP","1901-38343","N","N","0","58","26","32","15.02","38.17","22.94","141","ND","ND","JA","N",NA
"16","20040819_SCI_ND_05","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:46",22,46,"8/19/2004 22:53","ASSP","1901-38344","N","N","0","61","26","35","ND","ND","ND","138","ND","ND","JA","N",NA
"17","20040819_SCI_ND_06","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:49",22,49,"8/19/2004 23:22","ASSP","1901-38345","N","N","4","64","25","39","14.12","39.03","23.75","142","ND","F","HMN","N","RADIO = 4583; HR THINKS MALE"
"18","20040819_SCI_ND_07","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 22:49",22,49,"8/19/2004 22:59","ASSP","1901-38346","N","N","3","60","26","34","14.89","36.9","23.48","145","ND","ND","JA","N",NA
"19","20040819_SCI_ND_08","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/19/2004 23:43",23,43,"8/19/2004 23:54","ASSP","1901-38347","N","N","0","62","26","36","15.11","38.54","24.35","150","ND","ND","HMN","N",NA
"20","20040819_SCI_ND_09","20040819_SCI_ND",8,19,2004,"SCI","SR","ND","ND","ND","8/20/2004 0:20",0,20,"8/20/2004 0:33","ASSP","1901-38348","N","N","4.5","62","26","36","15.23","37.4","23.9","142","ND","ND","HG","N",NA
