"band_no","recapture","session_year","session_date","island_code","site_code"
"1001-21241","N",2004,2004-07-18,"SBI","AP"
"1001-21241","Y",2004,2004-08-15,"SBI","ESP"
"1001-21244","N",2004,2004-07-18,"SBI","AP"
"1001-21244","Y",2005,2005-07-31,"SBI","AP"
"1001-21316","N",2004,2004-08-14,"SBI","AP"
"1001-21316","Y",2004,2004-08-15,"SBI","AP"
"111-112704","N",1994,1994-08-09,"SBI","WCliffs"
"111-112704","Y",1996,1996-06-06,"SBI","AP"
"111-112729","N",1995,1995-04-26,"SBI","ESP"
"111-112729","Y",2017,2017-05-26,"SBI","ESP"
"111-112755","N",1995,1995-06-22,"SBI","ESP"
"111-112755","Y",1995,1995-06-26,"SBI","ESP"
"111-112782","Y",1999,1999-06-10,"SBI","AP"
"111-112809","N",1995,1995-08-03,"SBI","WP"
"111-112809","Y",1996,1996-06-07,"SBI","WCliffs"
"111-112826","Y",1996,1996-07-17,"SBI","NCliffs"
"111-112883","Y",2016,2016-06-03,"SBI","ESP"
"111-112883","N",1996,1996-06-07,"SBI","WCliffs"
"111-112896","N",1996,1996-06-07,"SBI","WCliffs"
"111-112896","Y",1996,1996-06-23,"SBI","NCliffs"
"111-112900","Y",1996,1996-07-17,"SBI","NCliffs"
"111-112900","N",1996,1996-06-07,"SBI","WCliffs"
"1111-12869","Y",2014,2014-07-20,"SBI","AP"
"1401-50740","Y",1996,1996-06-06,"SBI","AP"
"1401-50742","Y",1995,1995-06-24,"SBI","ESP"
"1401-50789","Y",2005,2005-08-01,"SBI","AP"
"1401-51901","Y",1999,1999-06-10,"SBI","AP"
"1401-55708","Y",1994,1994-07-12,"SBI","ESP"
"1401-55708","N",1994,1994-07-03,"SBI","AP"
"1401-55730","Y",1995,1995-06-24,"SBI","ESP"
"1401-55730","N",1994,1994-07-12,"SBI","ESP"
"1401-56210","N",2014,2014-06-23,"SCI","SR"
"1401-56210","Y",2016,2016-05-04,"SCI","SR"
"1401-56228","N",2015,2015-06-17,"SCI","SR"
"1401-56228","Y",2015,2015-08-11,"SMI","PI"
"1401-56230","N",2015,2015-06-17,"SCI","SR"
"1401-56230","Y",2016,2016-05-04,"SCI","SR"
"1401-56230","Y",2016,2016-05-05,"SCI","SR"
"1401-56292","Y",2016,2016-05-05,"SCI","SR"
"1401-56292","N",2015,2015-06-16,"SCI","SR"
"1401-56296","N",2015,2015-06-16,"SCI","SR"
"1401-56296","Y",2016,2016-06-01,"SCI","SR"
"1401-56333","N",2017,2017-06-20,"SCI","SR"
"1401-56333","Y",2018,2018-06-11,"SCI","SR"
"1401-56346","Y",2018,2018-07-11,"SCI","SR"
"1401-56346","N",2018,2018-06-12,"SCI","SR"
"1401-56373","Y",2006,2006-06-02,"SCI","SR"
"1401-57419","Y",1996,1996-07-20,"SBI","WCliffs"
