"Band Number","Capture Year","Capture Date","Capture Island","Capture Site","Recapture Year","Recapture Date","Recapture Island","Recapture Site"
"1401-60701",1994,1994-04-15,"ANI","EAI_N",1994,1994-05-02,"ANI","EAI_W"
"1401-60711",1994,1994-04-15,"ANI","EAI_N",1994,1994-05-02,"ANI","EAI_W"
"1401-60851",1994,1994-05-02,"ANI","EAI_N",1994,1994-05-02,"ANI","EAI_W"
"1401-60714",1994,1994-04-17,"ANI","EAI_SW",1994,1994-05-03,"ANI","CC"
"1401-60706",1994,1994-04-15,"ANI","EAI_N",1994,1994-05-04,"ANI","EAI_N"
"1401-60707",1994,1994-04-15,"ANI","EAI_N",1994,1994-05-05,"ANI","CC"
"1401-60726",1994,1994-05-05,"ANI","CC",1994,1994-05-14,"ANI","RR"
"1401-60851",1994,1994-05-02,"ANI","EAI_N",1994,1994-06-07,"ANI","EAI_N"
"1401-55708",1994,1994-07-03,"SBI","AP",1994,1994-07-12,"SBI","ESP"
"1401-55730",1994,1994-07-12,"SBI","ESP",1995,1995-06-24,"SBI","ESP"
"111-112704",1994,1994-08-09,"SBI","WCliffs",1996,1996-06-06,"SBI","AP"
"111-112755",1995,1995-06-22,"SBI","ESP",1995,1995-06-26,"SBI","ESP"
"111-112809",1995,1995-08-03,"SBI","WP",1996,1996-06-07,"SBI","WCliffs"
"111-112729",1995,1995-04-26,"SBI","ESP",2017,2017-05-26,"SBI","ESP"
"111-112896",1996,1996-06-07,"SBI","WCliffs",1996,1996-06-23,"SBI","NCliffs"
"111-112900",1996,1996-06-07,"SBI","WCliffs",1996,1996-07-17,"SBI","NCliffs"
"1401-57419",1996,1996-06-18,"SBI","ESP",1996,1996-07-20,"SBI","WCliffs"
"1401-57495",1996,1996-07-20,"SBI","WCliffs",1996,1996-08-15,"SBI","AP"
"111-112883",1996,1996-06-07,"SBI","WCliffs",2016,2016-06-03,"SBI","ESP"
"1901-38317",2004,2004-07-17,"SBI","AP",2004,2004-07-18,"SBI","ESP"
"1961-16195",2004,2004-07-17,"SBI","AP",2004,2004-07-18,"SBI","AP"
"1001-21241",2004,2004-07-18,"SBI","AP",2004,2004-08-15,"SBI","ESP"
"1001-21316",2004,2004-08-14,"SBI","AP",2004,2004-08-15,"SBI","AP"
"1961-16167",2004,2004-06-24,"SCI","SR",2004,2004-08-15,"SBI","ESP"
"7901-02692",2004,2004-07-19,"SBI","ESP",2004,2004-08-15,"SBI","AP"
"7901-02974",2004,2004-08-15,"SBI","ESP",2004,2004-08-16,"SBI","ESP"
"7901-02732",2004,2004-07-21,"SCI","SR",2004,2004-08-19,"SCI","SR"
"1001-21244",2004,2004-07-18,"SBI","AP",2005,2005-07-31,"SBI","AP"
"7901-02730",2004,2004-07-21,"SCI","SR",2006,2006-06-02,"SCI","SR"
"7901-02777",2004,2004-07-22,"SCI","SR",2006,2006-06-02,"SCI","SR"
"4501-95411",2005,2005-05-28,"SMI","PI",2005,2005-05-29,"SMI","PI"
"4501-95414",2005,2005-05-28,"SMI","PI",2005,2005-07-03,"SMI","PI"
"1971-01630",2005,2005-07-03,"SMI","PI",2005,2005-07-08,"SCI","SR"
"4501-95514",2005,2005-05-31,"SCI","SR",2005,2005-07-08,"SCI","SR"
"1971-01937",2005,2005-07-09,"SBI","AP",2005,2005-07-31,"SBI","AP"
"1971-01608",2005,2005-07-01,"SMI","PI",2005,2005-08-01,"SBI","AP"
"4501-95565",2005,2005-06-01,"SCI","SR",2005,2005-08-01,"SBI","AP"
"4501-95466",2005,2005-05-29,"SMI","PI",2005,2005-08-06,"SMI","PI"
"4501-95468",2005,2005-05-29,"SMI","PI",2005,2005-08-07,"SMI","PI"
"1971-01648",2005,2005-07-07,"SCI","SR",2005,2005-08-09,"SCI","SR"
"1971-01677",2005,2005-07-08,"SCI","SR",2005,2005-08-09,"SCI","SR"
"1971-01682",2005,2005-07-08,"SCI","SR",2006,2006-06-02,"SCI","SR"
"1971-01852",2005,2005-08-09,"SCI","SR",2016,2016-05-04,"SCI","SR"
"1971-01973",2005,2005-07-08,"SBI","ESP",2016,2016-07-12,"SBI","ESP"
"1971-01895",2006,2006-04-29,"SCI","SR",2006,2006-06-02,"SCI","SR"
"1971-02045",2006,2006-06-28,"SCI","SR",2006,2006-07-27,"SCI","SR"
"1971-02086",2006,2006-07-26,"SCI","SR",2014,2014-07-20,"SBI","AP"
"4501-41210",2009,2009-05-14,"SBI","ESP",2009,2009-06-24,"SBI","ESP"
"4501-41220",2009,2009-05-14,"SBI","ESP",2009,2009-07-28,"SBI","ESP"
"4501-41240",2009,2009-06-24,"SBI","ESP",2009,2009-07-28,"SBI","ESP"
"4501-41286",2009,2009-07-28,"SBI","ESP",2009,2009-08-22,"SBI","ESP"
"4501-41336",2011,2011-06-04,"SBI","SRO",2011,2011-07-01,"SBI","SRO"
"4501-41375",2011,2011-06-30,"SBI","ESP",2011,2011-07-29,"SBI","ESP"
"4501-41662",2014,2014-07-04,"SBI","ESP",2014,2014-07-05,"SBI","AP"
"4501-41654",2014,2014-07-04,"SBI","ESP",2014,2014-07-07,"SBI","SRO"
"4501-41631",2014,2014-07-02,"SBI","ESP",2014,2014-07-17,"SBI","ESP"
"4501-41674",2014,2014-07-04,"SBI","ESP",2014,2014-07-17,"SBI","ESP"
"4501-41484",2014,2014-07-16,"SBI","ESP",2014,2014-07-19,"SBI","NTP"
"4501-41478",2014,2014-07-16,"SBI","ESP",2014,2014-07-20,"SBI","AP"
"4501-41495",2014,2014-07-17,"SBI","ESP",2014,2014-07-20,"SBI","AP"
"4501-41692",2014,2014-07-05,"SBI","AP",2014,2014-07-20,"SBI","AP"
"4501-41658",2014,2014-07-04,"SBI","ESP",2014,2014-08-08,"SBI","ESP"
"4501-41456",2014,2014-07-11,"SCI","LSH",2015,2015-06-17,"SCI","SR"
"1401-56210",2014,2014-06-23,"SCI","SR",2016,2016-05-04,"SCI","SR"
"4501-41149",2014,2014-07-20,"SBI","AP",2016,2016-06-03,"SBI","ESP"
"1971-02336",2015,2015-06-17,"SMI","PI",2015,2015-06-18,"SMI","PI"
"1971-02328",2015,2015-06-17,"SMI","PI",2015,2015-07-13,"SMI","PI"
"1971-02344",2015,2015-06-17,"SMI","PI",2015,2015-07-13,"SMI","PI"
"1971-02369",2015,2015-06-18,"SMI","PI",2015,2015-07-13,"SMI","PI"
"1401-56228",2015,2015-06-17,"SCI","SR",2015,2015-08-11,"SMI","PI"
"1971-02327",2015,2015-06-17,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02367",2015,2015-06-19,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02385",2015,2015-07-12,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02392",2015,2015-07-12,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02454",2015,2015-08-11,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02327",2015,2015-06-17,"SMI","PI",2016,2016-05-03,"SMI","PI"
"1401-56230",2015,2015-06-17,"SCI","SR",2016,2016-05-04,"SCI","SR"
"1971-02327",2015,2015-06-17,"SMI","PI",2016,2016-05-04,"SMI","PI"
"1971-02472",2015,2015-09-09,"SMI","PI",2016,2016-05-04,"SMI","PI"
"1401-56230",2015,2015-06-17,"SCI","SR",2016,2016-05-05,"SCI","SR"
"1401-56292",2015,2015-06-16,"SCI","SR",2016,2016-05-05,"SCI","SR"
"1401-56296",2015,2015-06-16,"SCI","SR",2016,2016-06-01,"SCI","SR"
"4501-37866",2015,2015-07-09,"SBI","AP",2016,2016-06-01,"SBI","AP"
"1971-02348",2015,2015-06-18,"SMI","PI",2016,2016-06-03,"SMI","PI"
"1971-02412",2015,2015-07-13,"SMI","PI",2016,2016-06-03,"SMI","PI"
"4501-37899",2015,2015-07-23,"SBI","AP",2016,2016-06-03,"SBI","ESP"
"4501-41915",2015,2015-07-16,"SCI","SR",2016,2016-06-03,"SCI","SR"
"1971-02454",2015,2015-08-11,"SMI","PI",2016,2016-06-04,"SMI","PI"
"1971-02423",2015,2015-07-14,"SMI","PI",2016,2016-07-05,"SMI","PI"
"1971-02453",2015,2015-08-11,"SMI","PI",2016,2016-07-05,"SMI","PI"
"4501-37862",2015,2015-07-09,"SBI","AP",2016,2016-07-07,"SBI","ESP"
"4501-41922",2015,2015-07-16,"SCI","SR",2016,2016-07-07,"SCI","SR"
"1971-02349",2015,2015-06-18,"SMI","PI",2016,2016-08-04,"SMI","PI"
"1971-02385",2015,2015-07-12,"SMI","PI",2016,2016-08-05,"SMI","PI"
"1971-02454",2015,2015-08-11,"SMI","PI",2018,2018-05-15,"SMI","PI"
"1971-02579",2016,2016-05-04,"SMI","PI",2016,2016-05-02,"SMI","PI"
"1971-02482",2016,2016-05-02,"SMI","PI",2016,2016-05-03,"SMI","PI"
"1971-02499",2016,2016-05-02,"SMI","PI",2016,2016-05-03,"SMI","PI"
"1971-02475",2016,2016-05-02,"SMI","PI",2016,2016-05-04,"SMI","PI"
"1971-02499",2016,2016-05-02,"SMI","PI",2016,2016-05-04,"SMI","PI"
"1971-02527",2016,2016-05-03,"SMI","PI",2016,2016-05-04,"SMI","PI"
"1971-02820",2016,2016-05-04,"SCI","SR",2016,2016-06-02,"SCI","SR"
"2461-03712",2016,2016-06-01,"SCI","SR",2016,2016-06-02,"SCI","SR"
"4501-41944",2016,2016-05-05,"SBI","AP",2016,2016-06-02,"SBI","AP"
"1971-02484",2016,2016-05-02,"SMI","PI",2016,2016-06-03,"SMI","PI"
"1971-02538",2016,2016-05-03,"SMI","PI",2016,2016-06-04,"SMI","PI"
"1971-02551",2016,2016-05-03,"SMI","PI",2016,2016-06-04,"SMI","PI"
"1971-02579",2016,2016-05-04,"SMI","PI",2016,2016-06-04,"SMI","PI"
"1971-02607",2016,2016-06-03,"SMI","PI",2016,2016-06-04,"SMI","PI"
"1971-02475",2016,2016-05-02,"SMI","PI",2016,2016-06-05,"SMI","PI"
"1971-02607",2016,2016-06-03,"SMI","PI",2016,2016-06-05,"SMI","PI"
"1971-02814",2016,2016-05-04,"SCI","SR",2016,2016-06-05,"SMI","PI"
"4501-41997",2016,2016-06-02,"SBI","AP",2016,2016-07-06,"SBI","AP"
"7901-17108",2016,2016-06-02,"SCI","SR",2016,2016-07-06,"SCI","SR"
"7901-17109",2016,2016-06-02,"SCI","SR",2016,2016-07-06,"SCI","SR"
"7901-17067",2016,2016-07-06,"SBI","AP",2016,2016-07-07,"SBI","ESP"
"7901-17012",2016,2016-06-03,"SBI","ESP",2016,2016-07-12,"SBI","ESP"
"7901-17070",2016,2016-07-06,"SBI","AP",2016,2016-07-12,"SBI","ESP"
"7901-17126",2016,2016-06-03,"SCI","SR",2016,2016-07-30,"SCI","SR"
"7901-17132",2016,2016-07-06,"SCI","SR",2016,2016-07-30,"SCI","SR"
"7901-17153",2016,2016-07-07,"SCI","SR",2016,2016-07-30,"SCI","SR"
"7901-17232",2016,2016-08-03,"SBI","AP",2016,2016-08-05,"SBI","ESP"
"7901-17240",2016,2016-08-04,"SBI","AP",2016,2016-08-05,"SBI","ESP"
"7901-17045",2016,2016-07-06,"SBI","AP",2017,2017-05-26,"SBI","ESP"
"7901-17199",2016,2016-07-31,"SCI","SR",2017,2017-06-19,"SCI","SR"
"4501-41966",2016,2016-05-07,"SBI","ESP",2018,2018-05-13,"SBI","ESP"
"1971-02693",2016,2016-08-05,"SMI","PI",2018,2018-05-15,"SMI","PI"
"4501-41978",2016,2016-06-01,"SBI","AP",2018,2018-06-10,"SBI","AP"
"7901-17220",2016,2016-07-12,"SBI","ESP",2018,2018-06-10,"SBI","AP"
"1971-02692",2016,2016-08-05,"SMI","PI",2018,2018-06-11,"SMI","PI"
"7901-17075",2016,2016-07-07,"SBI","ESP",2018,2018-07-07,"SBI","ESP"
"4501-41840",2017,2017-05-25,"SBI","AP",2017,2017-06-22,"SBI","AP"
"4501-41870",2017,2017-05-26,"SBI","ESP",2017,2017-06-22,"SBI","AP"
"4501-41843",2017,2017-05-25,"SBI","AP",2018,2018-05-12,"SBI","AP"
