catch_ID,session_ID,month,day,year,island_code,subisland_code,site_code,lat,long,capture_time,release_time,species,band_no,recapture,band_replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
19990610_SBI_AP_20,19990610_SBI_AP,6,10,1999,SBI,SBI,AP,33.487622,-119.028535,6/11/1999 1:24,ND,XAMU,notbanded,N,N,N,D,ND,ND,ND,ND,ND,ND,116,ND,ND,SW,N,NA
20160602_SBI_AP_14,20160602_SBI_AP,6,2,2016,SBI,SBI,AP,33.487622,-119.028535,6/3/2016 0:51,6/3/2016 1:00,LTSP,notbanded,N,N,N,3,19,0,19,11,29.2,22.2,116,ND,ND,"JAH, AJB",Y,NA
20180513_SBI_ESP_18,20180513_SBI_ESP,5,13,2018,SBI,SBI,ESP,33.482528,-119.041599,5/13/2018 23:35,5/13/2018 23:47,CAAU,1313-46130,N,N,N,ND,146,0,146,ND,ND,ND,121,ND,ND,"JAH, JOV",N,NA
20040818_SCI_SR1_06,20040818_SCI_SR1,8,18,2004,SCI,SR,SR1,34.047666,-119.547674,8/18/2004 21:52,8/18/2004 22:09,ASSP,1901-38515,N,N,N,0,61,31,30,13.7,35.74,22.09,123,ND,ND,JA,N,ALL P/R WORN
20160706_SBI_AP_12,20160706_SBI_AP,7,6,2016,SBI,SBI,AP,33.487622,-119.028535,7/6/2016 22:39,7/6/2016 22:45,LTSP,7901-17049,N,N,N,2,22,0,22,11.7,31.1,22.6,124,ND,ND,"JAH, AJD",N,NA
19940713_SBI_AP_01,19940713_SBI_AP,7,13,1994,SBI,SBI,AP,33.487622,-119.028535,7/14/1994 0:07,ND,ASSP,1401-55736,N,N,N,0,ND,ND,ND,ND,ND,ND,126,ND,ND,"JF, PM",N,NA
20160505_SCI_SR1_11,20160505_SCI_SR1,5,5,2016,SCI,SR,SR1,34.047666,-119.547674,5/6/2016 1:54,5/6/2016 2:06,CAAU,1743-02224,N,N,N,0,149,0,149,18.9,ND,ND,126,ND,ND,"JAH, AJB",N,NA
20180813_SBI_AP_11,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 2:03,8/14/2018 2:10,ASSP,2461-03889,N,N,N,0,37,0,37,14,38.7,23.3,127,ND,ND,"JAH, JOV",N,NA
20050708_SBI_AP_02,20050708_SBI_AP,7,8,2005,SBI,SBI,AP,33.487622,-119.028535,7/9/2005 0:19,ND,ASSP,1401-59665,Y,N,N,3,ND,ND,ND,15.7,ND,23.5,128,ND,ND,PM,N,RECAPTURE: 59665 was banded on Lighthouse Hill SEFI on 7/24/03 with a fully developed brood patch (Russ Bradley pers com 8/29/05)
20050801_SBI_AP_04,20050801_SBI_AP,8,1,2005,SBI,SBI,AP,33.487622,-119.028535,8/1/2005 21:09,ND,ASSP,1971-01741,N,N,N,5,53,20,33,ND,ND,ND,128,ND,ND,JA,N,"PUKED OIL, WORN RETS"
