"session_ID","island_code","subisland_code","site_code","site_name","lat","long","month","day","year","series_ID","app_sunset","std_ending","net_open_1","net_close_1","net_open_2","net_close_2","net_open_3","net_close_3","net_open_4","net_close_4","net_open_5","net_close_5","min","min_std","ASSP","ASSPstd","CPUEraw","CPUEstd","net_mesh","net_dim","spp_audio_file","dB_level","speaker_system","data_repository","notes","flagged","flagged_notes"
"19940616_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,16,1994,1,"6/16/1994 20:09","6/17/1994 1:27","6/17/1994 1:36","6/17/1994 2:40",NA,NA,NA,NA,NA,NA,NA,NA,64,0,1,0,0.015625,NA,"38 mm","12 x 2.6 m","ASSP","ND","Tape recorder","Pt Blue","Several large petrels fluttered over tape recorder around 02:00, one bounced out of net (probably BLSP)","N",NA
"19940703_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,3,1994,1,"7/3/1994 20:11","7/4/1994 1:29","7/4/1994 0:30","7/4/1994 3:30",NA,NA,NA,NA,NA,NA,NA,NA,180,59.03333333,6,0,0.033333333,0,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"N",NA
"19940713_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,13,1994,1,"7/13/1994 20:08","7/14/1994 1:26","7/14/1994 0:00","7/14/1994 3:00",NA,NA,NA,NA,NA,NA,NA,NA,180,86.68333333,9,7,0.05,0.080753701,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"N",NA
"19960606_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,6,1996,1,"6/6/1996 20:05","6/7/1996 1:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,28,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"Y","No net open time"
"19960717_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,17,1996,1,"7/17/1996 20:06","7/18/1996 1:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue",NA,"Y","No net open time"
"19960815_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,8,15,1996,1,"8/15/1996 19:43","8/16/1996 1:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","Most of the brood patches were refeathering","Y","No net open time"
"19990610_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,6,10,1999,1,"6/10/1999 20:06","6/11/1999 1:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,16,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","Duration 3 hours re 1999 PRBO report. D=downy, PD=partly downy, B=bare","Y","No net open time"
"19990714_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,14,1999,1,"7/14/1999 20:08","7/15/1999 1:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,"38 mm","12 x 2.6 m","ASSP","ND","Regular sized cassette tape player with no external speakers","Pt Blue","19 BLSP! Duration 3 hours re 1999 PRBO report","Y","No net open time"
"20040717_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,17,2004,1,"7/17/2004 20:06","7/18/2004 1:24","7/17/2004 21:31","7/17/2004 23:59","7/18/2004 0:40","7/18/2004 2:36",NA,NA,NA,NA,NA,NA,264,192.8333333,42,31,0.159090909,0.160760588,"ND","ND","ND","ND","ND","USGS","CLEAR 0 MOON, WIND W- NW 10 KTS","Y","High CPUE, need to verify"
"20040718_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,7,18,2004,2,"7/18/2004 20:06","7/19/2004 1:24","7/18/2004 21:31","7/19/2004 2:30",NA,NA,NA,NA,NA,NA,NA,NA,299,233.3333333,27,17,0.090301003,0.072857143,"ND","ND","ND","ND","ND","USGS","MINUS 5 MINUTES VOCAL OFF; WNW 10 KTS SLIVER MOON","N",NA
