field_to_verify,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes
culmen,20150908_PI_PI1_4,20150908_PI_PI1,9,8,2015,SMI,PI,PI1,34.056323,-120.332024,9/8/2015 23:32,NA,ASSP,1971-02467,N,N,0,59,25,34,10.5,38,23.2,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
culmen,20150908_PI_PI1_5,20150908_PI_PI1,9,8,2015,SMI,PI,PI1,34.056323,-120.332024,9/9/2015 0:25,NA,ASSP,1971-02468,N,N,3,54,20,34,10.8,39.7,23.1,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
culmen,20160605_PI_PI1_10,20160605_PI_PI1,6,5,2016,SMI,PI,PI1,34.056323,-120.332024,6/5/2016 22:07,NA,ASSP,1971-02673,N,N,0,59,19,40,10.9,39.55,24,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,NA
mass_corr,20040717_SBI_AP_28,20040717_SBI_AP,7,17,2004,SBI,SBI,AP,33.487622,-119.028535,7/17/2004 21:44,7/17/2004 22:11,ASSP,1961-16187,N,N,0,55,32,23,14,37.08,21.59,135,NA,F,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA
mass_corr,20040718_SBI_AP_13,20040718_SBI_AP,7,18,2004,SBI,SBI,AP,33.487622,-119.028535,7/19/2004 0:26,7/19/2004 0:43,ASSP,1001-21282,N,N,3,59,36,23,14.42,38.56,25.45,135,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PM,NA
mass_corr,20040718_SBI_ESP_1,20040718_SBI_ESP,7,18,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 1:11,7/19/2004 1:16,ASSP,1401-60883,Y,N,3,30,13,17,14.32,38.28,22.22,147,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RECAPTURE - BANDED PRIOR TO 2004
mass_corr,20040719_SBI_ESP_13,20040719_SBI_ESP,7,19,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 23:58,7/20/2004 0:13,ASSP,7901-02702,N,N,1.5,53,31,22,14.28,36.7,22.49,144,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,worn rets
mass_corr,20150810_PI_PI1_3,20150810_PI_PI1,8,10,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 21:57,NA,ASSP,1971-02442,N,N,3,31,25,6,14.65,38.3,22.9,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REDDISH BP
mass_corr,20150810_PI_PI1_4,20150810_PI_PI1,8,10,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 22:27,NA,ASSP,1971-02443,N,N,1,32,25,7,13.8,37.55,24.4,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
skull_length,20040718_SBI_AP_12,20040718_SBI_AP,7,18,2004,SBI,SBI,AP,33.487622,-119.028535,7/19/2004 0:20,7/19/2004 0:41,ASSP,1001-21250,N,N,1.5,55,22,33,13.6,32.04,22.67,136,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PM,NA
