,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,Changed?,QAQC Notes
1,19940415_ANI_EAI_N_17,19940415_ANI_EAI_N,4,15,1994,ANI,EAI,EAI_N,34.016411,-119.362333,4/16/1994 4:12,NA,ASSP,1401-60713,N,N,3,35,0,35,14.35,NA,23.3,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLW, BSK",NA,4,N,"Checked Carter & Whitworth report on 1994, time stamp is correct"
2,19990512_SBI_WCliffs_1,19990512_SBI_WCliffs,5,12,1999,SBI,SBI,WCliffs,33.477633,-119.042881,5/12/1999 23:32,NA,ASSP,1401-55751,N,N,B,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Changed timestamp from 11:32 to 23:32. Also changed date from 5/13 to 5/12.
3,19990521_SBI_ESP_1,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 22:59,NA,ASSP,1401-55752,N,N,B,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,10,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Changed timestamp from 10:59 to 22:59. Also changed date from 5/22 to 5/21.
4,19990521_SBI_ESP_2,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:10,NA,ASSP,1401-55753,N,N,D,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
5,19990521_SBI_ESP_3,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:24,NA,ASSP,1401-55754,N,N,B,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
6,19990521_SBI_ESP_4,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:35,NA,ASSP,1401-55755,N,N,D,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
7,19990521_SBI_ESP_5,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:45,NA,ASSP,1401-55756,N,N,D,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
8,19990521_SBI_ESP_6,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:52,NA,ASSP,1401-55757,N,N,B,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
9,19990521_SBI_ESP_7,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:57,NA,ASSP,1401-55758,N,N,B,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
10,19990521_SBI_ESP_8,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/21/1999 23:59,NA,ASSP,1401-55759,N,N,PD,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SW,NA,11,Y,Checked raw data from SBI 1999. Data entered in 12h time but verified capture was from mistnet in 1999 PRBO report. Also changed date from 5/22 to 5/21.
