,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,20040622_SR_SR1_7,20040622_SR_SR1,6,22,2004,SCI,SR,SR1,34.047666,-119.547674,6/22/2004 22:45,6/22/2004 23:06,ASSP,1901-38287,N,N,1,59,23,36,16.29,38.65,23.41,143,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,22,23,N,"Josh Adam's raw data, don't have. Assumed not a typo."
2,20040819_SR_SR1_3,20040819_SR_SR1,8,19,2004,SCI,SR,SR1,34.047666,-119.547674,8/19/2004 22:26,8/19/2004 22:45,ASSP,1901-38533,N,N,3,61,25,36,16.26,39.85,24.97,146,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4761,22,22,N,"Josh Adam's raw data, don't have. Assumed not a typo."
5,20060726_SR_SR1_3,20060726_SR_SR1,7,26,2006,SCI,SR,SR1,34.047666,-119.547674,7/26/2006 21:28,NA,ASSP,1971-02057,N,N,1,53,20,33,16.25,32,23.55,141,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,VERY VOCAL,21,NA,N,"Josh Adam's raw data, don't have. Assumed not a typo."
7,20090423_SBI_ESP_1,20090423_SBI_ESP,4,23,2009,SBI,SBI,ESP,33.482528,-119.041599,4/23/2009 21:51,NA,ASSP,2461-03501,N,N,1,65,26,39,12.5,NA,26.1,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALH, HRC, BC",NA,21,NA,N,"Josh Adam's raw data, don't have. Assumed not a typo."
8,20110727_ANI_RR_5,20110727_ANI_RR,7,27,2011,ANI,ANI,RR,34.013764,-119.442644,7/27/2011 23:37,NA,ASSP,4501-41710,N,N,4,33,0,33,12.9,NA,25,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALH, DMM, REW, MWP",Plummage not as worn as others seen. ,23,NA,N,"Checked raw data, not a typo"
9,20110727_SBI_NCliffs_13,20110727_SBI_NCliffs,7,27,2011,SBI,SBI,NCliffs,33.488461,-119.030192,7/28/2011 0:45,7/28/2011 0:54,ASSP,4501-41434,N,N,4,40,0,40,16.18,NA,24.75,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB, AAY, MEJ",NA,0,0,N,"Checked raw data, not a typo"
10,20140702_SBI_ESP_10,20140702_SBI_ESP,7,2,2014,SBI,SBI,ESP,33.482528,-119.041599,7/2/2014 22:53,7/2/2014 23:03,ASSP,4501-41632,N,N,2,34,0,34,16.3,NA,23.3,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,22,23,N,"Checked raw data, not a typo"
11,20140702_SBI_ESP_16,20140702_SBI_ESP,7,2,2014,SBI,SBI,ESP,33.482528,-119.041599,7/3/2014 0:40,7/3/2014 0:42,ASSP,4501-41636,N,N,3,35,0,35,16.4,NA,25.7,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,0,0,N,"Checked raw data, not a typo"
12,20140704_SBI_ESP_3,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/4/2014 21:45,7/4/2014 21:50,ASSP,4501-41642,N,N,5,34,0,34,12.7,NA,24.2,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,21,21,N,"Checked raw data, not a typo"
13,20140704_SBI_ESP_8,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/4/2014 22:29,7/4/2014 22:33,ASSP,4501-41647,N,N,5,32,0,32,12.9,NA,22.6,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,22,22,N,"Checked raw data, not a typo"
14,20140704_SBI_ESP_21,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/4/2014 23:24,7/4/2014 23:30,ASSP,4501-41659,N,N,3,34,0,34,12.2,NA,24.2,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,23,23,N,"Checked raw data, not a typo"
15,20140704_SBI_ESP_23,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/4/2014 23:41,7/4/2014 23:44,ASSP,4501-41661,N,N,3,34,0,34,12.5,NA,24.5,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,23,23,N,"Checked raw data, not a typo"
16,20140704_SBI_ESP_24,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/4/2014 23:49,7/4/2014 23:51,ASSP,4501-41662,N,N,3,33,0,33,12.5,NA,24.8,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,23,23,N,"Checked raw data, not a typo"
17,20140704_SBI_ESP_33,20140704_SBI_ESP,7,4,2014,SBI,SBI,ESP,33.482528,-119.041599,7/5/2014 0:38,7/5/2014 0:41,ASSP,4501-41671,N,N,3,44,0,44,12.7,NA,24,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,0,0,N,"Checked raw data, not a typo"
18,20140705_SBI_AP_4,20140705_SBI_AP,7,5,2014,SBI,SBI,AP,33.487622,-119.028535,7/5/2014 22:41,7/5/2014 22:48,ASSP,4501-41680,N,N,3,32,0,32,12.8,NA,24.4,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,22,22,N,"Checked raw data, not a typo"
19,20140705_SBI_AP_7,20140705_SBI_AP,7,5,2014,SBI,SBI,AP,33.487622,-119.028535,7/5/2014 23:00,7/5/2014 22:13,ASSP,4501-41682,N,N,4,33,0,33,11.9,NA,23,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,23,22,N,"Checked raw data, not a typo"
