,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,19940502_ANI_EAI_W_1,19940502_ANI_EAI_W,5,2,1994,ANI,EAI,EAI_W,34.016017,-119.359978,5/3/1994 0:17,NA,ASSP,1401-60761,N,N,0,62,0,62,15.7,NA,24.7,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLW, NJK, JA, SHN",NA,0,NA,N,"Checked raw data in Carter & Whitworth report, not a typo."
2,19940502_ANI_EAI_W_2,19940502_ANI_EAI_W,5,2,1994,ANI,EAI,EAI_W,34.016017,-119.359978,5/3/1994 1:38,NA,ASSP,1401-60752,N,N,1.5,61,0,61,14.6,NA,23.9,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLW, NJK, JA, SHN",NA,1,NA,N,"Checked raw data in Carter & Whitworth report, not a typo."
3,19940502_ANI_EAI_W_3,19940502_ANI_EAI_W,5,2,1994,ANI,EAI,EAI_W,34.016017,-119.359978,5/3/1994 1:38,NA,ASSP,1401-60701,Y,N,0,62,0,62,14.4,NA,25.4,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLW, NJK, JA, SHN",NA,1,NA,N,"Checked raw data in Carter & Whitworth report, not a typo."
4,19940502_ANI_EAI_W_4,19940502_ANI_EAI_W,5,2,1994,ANI,EAI,EAI_W,34.016017,-119.359978,5/3/1994 2:08,NA,ASSP,1401-60711,Y,N,5,60,0,60,13.8,NA,22.8,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLW, NJK, JA, SHN",NA,2,NA,N,"Checked raw data in Carter & Whitworth report, not a typo."
5,19940503_ANI_CC_1,19940503_ANI_CC,5,3,1994,ANI,EAI,CC,34.014197,-119.371283,5/3/1994 21:00,NA,ASSP,1401-60714,N,N,0,58,0,58,13.7,NA,23.4,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NJK, JA",NA,21,NA,N,"Checked raw data in Carter & Whitworth report, not a typo."
6,20040717_SBI_AP_28,20040717_SBI_AP,7,17,2004,SBI,SBI,AP,33.487622,-119.028535,7/17/2004 21:44,7/17/2004 22:11,ASSP,1961-16187,N,N,0,55,32,23,14,37.08,21.59,135,NA,F,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,21,22,?,"Josh Adam's raw data, don't have"
7,20040718_SBI_AP_13,20040718_SBI_AP,7,18,2004,SBI,SBI,AP,33.487622,-119.028535,7/19/2004 0:26,7/19/2004 0:43,ASSP,1001-21282,N,N,3,59,36,23,14.42,38.56,25.45,135,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PM,NA,0,0,?,"Josh Adam's raw data, don't have"
8,20040718_SBI_ESP_1,20040718_SBI_ESP,7,18,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 1:11,7/19/2004 1:16,ASSP,1401-60883,Y,N,3,30,13,17,14.32,38.28,22.22,147,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RECAPTURE - BANDED PRIOR TO 2004,1,1,?,"Josh Adam's raw data, don't have"
9,20040719_SBI_ESP_13,20040719_SBI_ESP,7,19,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 23:58,7/20/2004 0:13,ASSP,7901-02702,N,N,1.5,53,31,22,14.28,36.7,22.49,144,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,worn rets,23,0,?,"Josh Adam's raw data, don't have"
10,20150810_PI_PI1_3,20150810_PI_PI1,8,10,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 21:57,NA,ASSP,1971-02442,N,N,3,31,25,6,14.65,38.3,22.9,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REDDISH BP,21,NA,?,"Josh Adam's raw data, don't have"
11,20150810_PI_PI1_4,20150810_PI_PI1,8,10,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 22:27,NA,ASSP,1971-02443,N,N,1,32,25,7,13.8,37.55,24.4,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,?,"Josh Adam's raw data, don't have"
12,20160504_PI_PI1_36,20160504_PI_PI1,5,4,2016,SMI,PI,PI1,34.056323,-120.332024,5/5/2016 1:51,NA,ASSP,1971-02584,N,N,1,57,22,35,14,37.8,24,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Y,"Checked raw data, assumed value was supposed to be ""57"" instead of ""157."""
13,20160804_PI_PI1_1,20160804_PI_PI1,8,4,2016,SMI,PI,PI1,34.056323,-120.332024,8/4/2016 21:03,NA,ASSP,1971-02650,N,N,1,52,21,31,15.2,39.9,24.6,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,NA,21,NA,Y,"Checked raw data and changed tare from ""32"" to ""21"". Also changed culmen to ""15.2"" from ""15.3"""
14,20160804_PI_PI1_2,20160804_PI_PI1,8,4,2016,SMI,PI,PI1,34.056323,-120.332024,8/4/2016 21:09,NA,ASSP,1971-02649,N,N,1,54,21,33,14.5,37.4,21.8,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZS,NA,21,NA,Y,"Checked raw data and changed tare from ""32"" to ""21"""
15,20160804_PI_PI1_4,20160804_PI_PI1,8,4,2016,SMI,PI,PI1,34.056323,-120.332024,8/4/2016 22:04,NA,ASSP,1971-02683,N,N,0,56,21,35,14.5,37.25,25.2,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZS,Band seq shift.,22,NA,Y,"Checked raw data and changed tare from ""32"" to ""21"""
