,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,20040718_SBI_ESP_45,20040718_SBI_ESP,7,18,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 2:38,7/19/2004 3:00,ASSP,7901-02689,N,N,2,51,25,26,14.99,37.62,22.16,140,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA,2,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 2:30am according to CPUE notes. Release time makes sense with capture time."
2,20040718_SBI_ESP_46,20040718_SBI_ESP,7,18,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 2:38,7/19/2004 3:03,ASSP,7901-02690,N,N,1.5,66,31,35,14.61,37.58,21.87,141,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA,2,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 2:30am according to CPUE notes. Release time makes sense with capture time."
3,20040718_SBI_ESP_47,20040718_SBI_ESP,7,18,2004,SBI,SBI,ESP,33.482528,-119.041599,7/19/2004 2:41,7/19/2004 3:06,ASSP,7901-02691,N,N,1.5,42,13,29,13.7,36.53,22.15,139,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA,2,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 2:30am according to CPUE notes. Release time makes sense with capture time."
4,20040623_SR_SR1_40,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:02,6/24/2004 3:06,ASSP,1961-16157,N,N,3,60,26,34,13.78,37.79,23.22,145,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
5,20040623_SR_SR1_41,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:05,6/24/2004 3:28,ASSP,1961-16158,N,N,1,63,26,37,15.09,38.46,21.58,143,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
6,20040623_SR_SR1_42,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:05,6/24/2004 3:32,ASSP,1961-16159,N,N,0,57,27,30,14.55,37.13,22.43,137,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
7,20040623_SR_SR1_43,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:05,6/24/2004 3:37,ASSP,1961-16160,N,N,1,65,31,34,15.07,38.97,23.95,146,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
8,20040623_SR_SR1_44,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:05,6/24/2004 3:40,ASSP,1961-16161,N,N,2,65,26,39,15.55,38.84,22.37,146,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
9,20040623_SR_SR1_45,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:07,6/24/2004 3:43,ASSP,1961-16162,N,N,0,61,26,35,14,37.1,21.81,138,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
10,20040623_SR_SR1_46,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:07,6/24/2004 3:46,ASSP,1961-16163,N,N,2,52,14,38,14.97,38.65,22.77,141,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
11,20040623_SR_SR1_47,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:07,6/24/2004 3:50,ASSP,1961-16164,N,N,1.5,46,13,33,14.6,37,22.76,141,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
12,20040623_SR_SR1_48,20040623_SR_SR1,6,23,2004,SCI,SR,SR1,34.047666,-119.547674,6/24/2004 3:07,6/24/2004 3:53,ASSP,1961-16165,N,N,1.5,47,14,33,14.92,38.04,23.43,142,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 3:10am according to CPUE notes. Release time makes sense with capture time."
13,20040721_SR_SR1_7,20040721_SR_SR1,7,21,2004,SCI,SR,SR1,34.047666,-119.547674,7/21/2004 23:13,7/22/2004 4:19,ASSP,7901-02727,N,N,1,57,24,33,14.71,37.58,22.57,139,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,worn rets,23,4,N,"Josh Adam's raw data, don't have on hand. Mistnetted until 2:50am. Assumed not a typo."
14,20040815_SBI_ESP_21,20040815_SBI_ESP,8,15,2004,SBI,SBI,ESP,33.482528,-119.041599,8/16/2004 1:45,8/16/2004 3:06,ASSP,7901-02990,N,N,4.5,67,30,37,14.54,38.21,23.64,141,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4143,1,3,N,"Josh Adam's raw data, don't have on hand. Assumed not a typo."
15,20040815_SBI_ESP_22,20040815_SBI_ESP,8,15,2004,SBI,SBI,ESP,33.482528,-119.041599,8/16/2004 2:06,8/16/2004 3:24,ASSP,7901-02991,N,N,4,61,25,36,14.59,37.53,22.48,141,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4122,2,3,N,"Josh Adam's raw data, don't have on hand. Assumed not a typo."
16,20040815_SBI_ESP_23,20040815_SBI_ESP,8,15,2004,SBI,SBI,ESP,33.482528,-119.041599,8/16/2004 2:19,8/16/2004 3:41,ASSP,7901-02992,N,N,4.5,71,30,41,14.88,38.35,23.37,141,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4545,2,3,N,"Josh Adam's raw data, don't have on hand. Assumed not a typo."
17,20040722_SR_SR1_28,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 1:33,7/23/2004 3:26,ASSP,7901-02776,N,N,4,57,21,36,14.91,39.93,23.37,147,NA,F,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,RADIO = 4555,1,3,N,"Josh Adam's raw data, don't have on hand. Netted until 3:05am. Likely not typo."
18,20040722_SR_SR1_33,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 1:42,7/23/2004 3:45,ASSP,7901-02781,N,N,3,63,27,36,14.78,39.1,22.62,147,NA,F,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,RADIO = 4355,1,3,N,"Josh Adam's raw data, don't have on hand. Netted until 3:05am. Likely not typo."
19,20050703_PI_PI1_12,20050703_PI_PI1,7,3,2005,SMI,PI,PI1,34.056323,-120.332024,7/4/2005 3:25,7/4/2005 3:46,ASSP,1971-01639,N,N,2,61,25,36,NA,NA,NA,139,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4019,3,3,N,"JA raw data, don’t have. Netted until 4am. Looks ok."
20,20040722_SR_SR1_48,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 2:46,7/23/2004 3:00,ASSP,7901-02796,N,N,0,60,26,34,NA,NA,NA,138,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,2,3,N,"JA raw data, don't have. Netted until 3:05am. Looks ok."
21,20040722_SR_SR1_49,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 2:46,7/23/2004 3:02,ASSP,7901-02797,N,N,0,67,31,36,NA,NA,NA,139,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,2,3,N,"JA raw data, don't have. Netted until 3:05am. Looks ok."
22,20040722_SR_SR1_50,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 2:53,7/23/2004 3:03,ASSP,7901-02798,N,N,0,69,33,36,NA,NA,NA,138,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,2,3,N,"JA raw data, don't have. Netted until 3:05am. Looks ok."
23,20040722_SR_SR1_51,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 2:56,7/23/2004 3:04,ASSP,7901-02799,N,N,0,63,27,36,NA,NA,NA,142,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,2,3,N,"JA raw data, don't have. Netted until 3:05am. Looks ok."
24,20040722_SR_SR1_52,20040722_SR_SR1,7,22,2004,SCI,SR,SR1,34.047666,-119.547674,7/23/2004 3:02,7/23/2004 3:09,ASSP,7901-02800,N,N,1,60,28,32,NA,NA,NA,140,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,NA,3,3,N,"JA raw data, don't have. Netted until 3:05am. Looks ok."
25,20050707_SR_SR1_23,20050707_SR_SR1,7,7,2005,SCI,SR,SR1,34.047666,-119.547674,7/8/2005 2:45,7/8/2005 3:12,ASSP,1971-01661,N,N,3,56,25,31,NA,NA,NA,142,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,RADIO = 4521; PUKED IN NET,2,3,N,"JA raw data, don't have. Netted until 2:38am. Looks ok."
26,20050708_SR_SR1_29,20050708_SR_SR1,7,8,2005,SCI,SR,SR1,34.047666,-119.547674,7/9/2005 3:05,7/9/2005 3:53,ASSP,1971-01686,N,N,3,66,26,40,NA,NA,NA,147,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,"RADIO = 4344, not available for sexing",3,3,N,"JA raw data, don't have. Netted until 3:56am. Looks ok."
27,20140720_SBI_AP_34,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 2:58,7/21/2014 3:02,ASSP,4501-41158,N,N,2,33,0,33,13.7,NA,21.9,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,2,3,N,"Checked raw data, no errors."
28,20140720_SBI_AP_35,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:02,7/21/2014 3:08,ASSP,4501-41159,N,N,1,35,0,35,14.3,NA,24.5,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
29,20140720_SBI_AP_36,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:08,7/21/2014 3:12,ASSP,4501-41160,N,N,3,37,0,37,13.5,NA,23.1,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
30,20140720_SBI_AP_37,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:15,7/21/2014 3:21,ASSP,4501-41161,N,N,3,41,0,41,14.4,NA,22.3,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
31,20140720_SBI_AP_38,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:26,7/21/2014 3:29,ASSP,4501-41162,N,N,4,35,0,35,14.2,NA,23,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
32,20140720_SBI_AP_39,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:30,7/21/2014 3:31,ASSP,4501-41692,Y,N,3,36,0,36,14.3,NA,21,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
33,20140720_SBI_AP_40,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:31,7/21/2014 3:37,ASSP,4501-41163,N,N,1,31,0,31,14.1,NA,21.6,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
34,20140720_SBI_AP_41,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:35,7/21/2014 3:40,ASSP,4501-41164,N,N,3,31,0,31,13.8,NA,23.5,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
35,20140720_SBI_AP_42,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:44,7/21/2014 3:49,ASSP,4501-41165,N,N,2,37,0,37,13.8,NA,22.4,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
36,20140720_SBI_AP_43,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:46,7/21/2014 3:53,ASSP,4501-41166,N,N,3,31,0,31,14,NA,21.7,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
37,20140720_SBI_AP_44,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:48,7/21/2014 3:56,ASSP,4501-41167,N,N,3,34,0,34,13.9,NA,23,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
38,20140720_SBI_AP_45,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:51,7/21/2014 3:58,ASSP,4501-41168,N,N,1,31,0,31,13,NA,23,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,3,N,"Checked raw data, no errors."
39,20140720_SBI_AP_46,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 3:55,7/21/2014 4:02,ASSP,4501-41169,N,N,3,37,0,37,14,NA,22.5,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,3,4,N,"Checked raw data, no errors."
40,20140720_SBI_AP_47,20140720_SBI_AP,7,20,2014,SBI,SBI,AP,33.487622,-119.028535,7/21/2014 4:09,7/21/2014 4:14,ASSP,4501-41170,N,N,3,39,0,39,13.6,NA,24.8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EWW, GRK",NA,4,4,N,"Checked raw data, no errors."
41,20140808_SBI_ESP_1,20140808_SBI_ESP,8,8,2014,SBI,SBI,ESP,33.482528,-119.041599,8/9/2014 12:39,8/9/2014 0:50,ASSP,4501-37835,N,N,3,34,0,34,14.5,NA,21.2,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC, CAC",NA,12,12,Y,"Checked raw data, changed timestamp to 00:50."
