,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,20040718_SBI_AP_12,20040718_SBI_AP,7,18,2004,SBI,SBI,AP,33.487622,-119.028535,7/19/2004 0:20,7/19/2004 0:41,ASSP,1001-21250,N,N,1.5,55,22,33,13.6,32.04,22.67,136,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PM,NA,0,0,?,Need to check Josh Adam's raw data
2,20040718_SBI_AP_21,20040718_SBI_AP,7,18,2004,SBI,SBI,AP,33.487622,-119.028535,7/19/2004 1:49,7/19/2004 2:21,ASSP,1001-21290,N,N,2,NA,NA,NA,13.69,32.89,22.76,142,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PM,bare not vascularized,1,2,?,Need to check Josh Adam's raw data
3,20040719_SBI_ESP_21,20040719_SBI_ESP,7,19,2004,SBI,SBI,ESP,33.482528,-119.041599,7/20/2004 0:53,7/20/2004 1:04,ASSP,7901-02710,N,N,2,66,31,35,14.89,46.9,22.93,140,NA,n,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,JA,puked oil,0,1,?,Need to check Josh Adam's raw data
5,20060726_SR_SR1_3,20060726_SR_SR1,7,26,2006,SCI,SR,SR1,34.047666,-119.547674,7/26/2006 21:28,NA,ASSP,1971-02057,N,N,1,53,20,33,16.25,32,23.55,141,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,VERY VOCAL,21,NA,?,Need to check Josh Adam's raw data
4,20150617_PI_PI1_3,20150617_PI_PI1,6,17,2015,SMI,PI,PI1,34.056323,-120.332024,6/17/2015 21:25,NA,ASSP,1971-02318,N,N,5,56,20,36,14.95,41.25,23.2,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUXURIOUS BROOD PATCH,21,NA,N,"Checked raw data, not a typo."
6,20150713_PI_PI1_9,20150713_PI_PI1,7,13,2015,SMI,PI,PI1,34.056323,-120.332024,7/13/2015 21:14,NA,ASSP,1971-02403,N,N,0,59,22,37,14.9,43.7,22.3,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,N,"Checked raw data, not a typo."
7,20150612_SBI_AP_2,20150612_SBI_AP,6,12,2015,SBI,SBI,AP,33.487622,-119.028535,6/12/2015 22:03,6/12/2015 22:11,ASSP,4501-41736,N,N,0,32,0,32,13.2,34.2,24.5,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAY, DMM, GRK",NA,22,22,N,"Checked raw data, not a typo."
8,20150612_SBI_AP_3,20150612_SBI_AP,6,12,2015,SBI,SBI,AP,33.487622,-119.028535,6/12/2015 22:04,6/12/2015 22:14,ASSP,4501-41737,N,N,0,33,0,33,13,34.8,26.3,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAY, DMM, GRK",NA,22,22,N,"Checked raw data, not a typo."
9,20150612_SBI_AP_11,20150612_SBI_AP,6,12,2015,SBI,SBI,AP,33.487622,-119.028535,6/12/2015 23:27,6/12/2015 23:34,ASSP,4501-41191,N,N,0,35,0,35,13,34.4,20.8,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAY, DMM, GRK",NA,23,23,N,"Checked raw data, not a typo."
10,20150908_PI_PI1_3,20150908_PI_PI1,9,8,2015,SMI,PI,PI1,34.056323,-120.332024,9/8/2015 22:58,NA,ASSP,1971-02466,N,N,0,57,25,32,13.6,31.2,21.25,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,N,"Checked raw data, not a typo."
