,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,19940504_ANI_EAI_N_2,19940504_ANI_EAI_N,5,4,1994,ANI,EAI,EAI_N,34.016411,-119.362333,5/4/1994 22:13,NA,ASSP,1401-60719,N,N,0,39,0,39,15.25,NA,27.6,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NJK, JA",NA,22,NA,N,"Checked raw data, not a typo."
2,20050802_SBI_ESP_18,20050802_SBI_ESP,8,2,2005,SBI,SBI,ESP,33.482528,-119.041599,8/3/2005 0:37,NA,ASSP,1971-01781,N,N,3,57,15,42,15.45,39.73,39.34,145,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,"LOOKS LEACHY BUT IS ASSP, LONG TARSUS?",0,NA,?,"Need to check Josh Adam's raw data, but looks correct based on notes."
4,20100710_SBI_SR_1,20100710_SBI_SR,7,10,2010,SBI,SBI,SR,33.484214,-119.034674,7/10/2010 22:52,7/10/2010 23:04,ASSP,4501-41316,N,N,3,61,27,34,14.65,NA,21.7,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAA, KWB",NA,22,23,Y,"Typo, changed tarsus from ""12.7"" to ""21.7"""
3,20150714_PI_PI1_1,20150714_PI_PI1,7,14,2015,SMI,PI,PI1,34.056323,-120.332024,7/15/2015 0:07,NA,ASSP,1971-02417,N,N,0,58,21,37,15.1,39.1,18.9,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FOUND DEAD IN THE INTERTIDAL 7/14 P.M.,0,NA,N,"Checked raw data, not a typo."
5,20150612_SBI_AP_15,20150612_SBI_AP,6,12,2015,SBI,SBI,AP,33.487622,-119.028535,6/13/2015 0:22,6/13/2015 0:26,ASSP,4501-41195,N,N,0,34,0,34,14.2,36.6,27.1,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAY, DMM, GRK",NA,0,0,N,"Checked raw data, not a typo."
6,20160604_PI_PI1_3,20160604_PI_PI1,6,4,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 21:44,NA,ASSP,1971-02630,N,N,1,54,19,35,14.95,39.4,18.95,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,NA,21,NA,?,Need raw data to verify.
7,20160507_SBI_ESP_8,20160507_SBI_ESP,5,7,2016,SBI,SBI,ESP,33.482528,-119.041599,5/7/2016 23:44,5/7/2016 23:44,ASSP,4501-41962,N,N,3,37,0,37,13.6,36.7,27.1,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTL, AAY",NA,23,23,N,"Checked raw data, not a typo."
8,20160706_SBI_AP_18,20160706_SBI_AP,7,6,2016,SBI,SBI,AP,33.487622,-119.028535,7/6/2016 22:49,7/6/2016 23:37,ASSP,7901-17099,N,N,2,36,0,36,15.2,38.2,27.4,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, AJD",NA,22,23,N,"Checked raw data, not a typo."
9,20160706_SBI_AP_26,20160706_SBI_AP,7,6,2016,SBI,SBI,AP,33.487622,-119.028535,7/7/2016 0:30,7/7/2016 0:39,ASSP,7901-17062,N,N,3,32,0,32,14.1,36,27.5,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, AJD",NA,0,0,N,"Checked raw data, not a typo."
10,20180813_SBI_AP_6,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 1:08,8/14/2018 1:16,ASSP,2461-03884,N,N,2,33,0,33,14.4,36.1,23.5,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, JOV",NA,1,1,Y,"Typo, changed tarsus from ""235"" to ""23.5"""
11,20180813_SBI_AP_14,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 2:10,8/14/2018 2:28,ASSP,2461-03891,N,N,2,32,0,32,14.2,38,12.6,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, JOV",NA,2,2,N,"Checked raw data, not a typo, but seems like error still."
