,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
1,19940713_SBI_AP_1,19940713_SBI_AP,7,13,1994,SBI,SBI,AP,33.487622,-119.028535,7/14/1994 0:07,NA,ASSP,1401-55736,N,N,0,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JF, PM",NA,0,NA,N,"Checked raw data,  not a typo."
2,19950426_SBI_ESP_4,19950426_SBI_ESP,4,26,1995,SBI,SBI,ESP,33.482528,-119.041599,4/26/1995 21:35,NA,ASSP,111-112726,N,N,0,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,21,NA,N,"Checked raw data,  not a typo."
3,19950622_SBI_ESP_2,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 22:50,NA,ASSP,111-112751,N,N,1,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,N,"Checked raw data,  not a typo."
4,19950622_SBI_ESP_10,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 23:34,NA,BLSP,111-112759,N,N,0,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,Y,"Checked raw data, not a typo, but listed as BLSP. Changed spp code."
5,19950626_SBI_ESP_7,19950626_SBI_ESP,6,26,1995,SBI,SBI,ESP,33.482528,-119.041599,6/27/1995 0:44,NA,ASSP,111-112797,N,N,1,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,"Checked raw data,  not a typo."
6,19950804_SBI_ESP_16,19950804_SBI_ESP,8,4,1995,SBI,SBI,ESP,33.482528,-119.041599,8/5/1995 2:02,NA,ASSP,111-112836,N,N,0,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,N,"Checked raw data,  not a typo."
7,19960606_SBI_AP_29,19960606_SBI_AP,6,6,1996,SBI,SBI,AP,33.487622,-119.028535,6/7/1996 1:27,NA,ASSP,111-112870,N,N,B,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JR,NA,1,NA,N,"Checked raw data,  not a typo."
10,20040818_SR_SR1_6,20040818_SR_SR1,8,18,2004,SCI,SR,SR1,34.047666,-119.547674,8/18/2004 21:52,8/18/2004 22:09,ASSP,1901-38515,N,N,0,61,31,30,13.7,35.74,22.09,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,ALL P/R WORN,21,22,?,Need to check raw data
9,20050701_PI_PI1_4,20050701_PI_PI1,7,1,2005,SMI,PI,PI1,34.056323,-120.332024,7/1/2005 22:53,NA,ASSP,1971-01604,N,N,3,65,26,39,14.65,NA,23.34,151,9,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,LESP?,22,NA,?,Need to check raw data
12,20050708_SBI_AP_2,20050708_SBI_AP,7,8,2005,SBI,SBI,AP,33.487622,-119.028535,7/9/2005 0:19,NA,ASSP,1401-59665,Y,N,3,NA,NA,NA,15.7,NA,23.5,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,RECAPTURE: 59665 was banded on Lighthouse Hill SEFI on 7/24/03 with a fully developed brood patch (Russ Bradley pers com 8/29/05),0,NA,?,Need to check raw data
