"","session_ID","island_code","site_code","lat","long","session_year","session_date","start","end"
"1","1994-06-16_SBI_AP","SBI","AP",33.487622,-119.028535,1994,1994-06-16,1994-06-17 01:36:00,1994-06-17 02:40:00
"2","1994-07-03_SBI_AP","SBI","AP",33.487622,-119.028535,1994,1994-07-03,1994-07-04 00:30:00,1994-07-04 03:30:00
"3","1994-07-13_SBI_AP","SBI","AP",33.487622,-119.028535,1994,1994-07-13,1994-07-14 00:00:00,1994-07-14 03:00:00
"4","1994-07-12_SBI_ESP","SBI","ESP",33.482528,-119.041599,1994,1994-07-12,1994-07-12 23:35:00,1994-07-13 02:35:00
"5","1994-08-12_SBI_ESP","SBI","ESP",33.482528,-119.041599,1994,1994-08-12,1994-08-12 22:50:00,1994-08-13 02:00:00
"6","1995-05-14_SBI_ESP","SBI","ESP",33.482528,-119.041599,1995,1995-05-14,1995-05-14 23:00:00,1995-05-15 02:00:00
"7","1995-06-03_SBI_ESP","SBI","ESP",33.482528,-119.041599,1995,1995-06-03,1995-06-03 23:07:00,1995-06-04 02:10:00
"8","2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00
"9","2004-07-18_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-18,2004-07-18 21:31:00,2004-07-19 02:30:00
"10","2004-08-14_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-08-14,2004-08-14 21:30:00,2004-08-15 02:33:00
"11","2004-08-15_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-08-15,2004-08-15 21:36:00,2004-08-16 01:34:00
"12","2004-08-16_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-08-16,2004-08-16 21:30:00,2004-08-17 01:30:00
"13","2004-07-18_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004,2004-07-18,2004-07-18 21:45:00,2004-07-19 02:41:00
"14","2004-07-19_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004,2004-07-19,2004-07-19 21:30:00,2004-07-20 02:30:00
"15","2004-08-15_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004,2004-08-15,2004-08-15 21:03:00,2004-08-16 02:31:00
"16","2004-08-16_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004,2004-08-16,2004-08-16 21:00:00,2004-08-17 02:37:00
"17","2004-06-22_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-22,2004-06-22 21:35:00,2004-06-23 02:13:00
"18","2004-06-23_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-23,2004-06-23 21:30:00,2004-06-24 03:10:00
"19","2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00
"20","2004-07-21_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-07-21,2004-07-21 21:30:00,2004-07-22 02:50:00
"21","2004-07-22_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-07-22,2004-07-22 21:30:00,2004-07-23 03:05:00
"22","2004-08-18_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-08-18,2004-08-18 20:51:00,2004-08-19 02:31:00
"23","2004-08-19_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-08-19,2004-08-19 20:45:00,2004-08-20 02:31:00
"24","2005-07-08_SBI_AP","SBI","AP",33.487622,-119.028535,2005,2005-07-08,2005-07-08 21:36:00,2005-07-09 02:36:00
"25","2005-07-09_SBI_AP","SBI","AP",33.487622,-119.028535,2005,2005-07-09,2005-07-09 23:24:00,2005-07-10 03:30:00
"26","2005-07-31_SBI_AP","SBI","AP",33.487622,-119.028535,2005,2005-07-31,2005-07-31 21:00:00,2005-08-01 02:04:00
"27","2005-08-01_SBI_AP","SBI","AP",33.487622,-119.028535,2005,2005-08-01,2005-08-01 21:00:00,2005-08-02 02:04:00
"28","2005-07-08_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005,2005-07-08,2005-07-08 21:45:00,2005-07-09 03:00:00
"29","2005-07-09_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005,2005-07-09,2005-07-09 21:30:00,2005-07-10 03:04:00
"30","2005-08-02_SBI_ESP","SBI","ESP",33.482528,-119.041599,2005,2005-08-02,2005-08-02 21:00:00,2005-08-03 02:04:00
"31","2005-05-28_SMI_PI","SMI","PI",34.056323,-120.332024,2005,2005-05-28,2005-05-28 22:35:00,2005-05-29 02:00:00
"32","2005-05-29_SMI_PI","SMI","PI",34.056323,-120.332024,2005,2005-05-29,2005-05-29 21:57:00,2005-05-30 02:30:00
