catch_ID,session_ID,session_date,session_year,session_month,session_day,island_code,subisland_code,site_code,lat,long,capture_date,capture_year,capture_month,capture_day,capture_hour,capture_min,release_date,species,ind_code,band_no,recapture,replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
2004-07-18_SBI_AP_01,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 21:38,2004,7,18,21,38,7/18/2004 21:56,ASSP,1001-21239,1001-21239,N,N,N,4.5,68,30,38,14.6,ND,23.68,145,ND,N,PM,N,NA
2004-07-18_SBI_AP_02,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 21:40,2004,7,18,21,40,7/18/2004 22:12,ASSP,1001-21240,1001-21240,N,N,N,1,57,27,30,14.6,38.2,21.35,141,ND,N,PM,N,NA
2004-07-18_SBI_AP_03,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 22:25,2004,7,18,22,25,7/18/2004 22:43,ASSP,1001-21241,1001-21241,N,N,N,1.5,64,27,37,13.57,38.35,24.7,140,ND,N,PM,N,NA
2004-08-15_SBI_ESP_01,2004-08-15_SBI_ESP,8/15/2004,2004,8,15,SBI,SBI,ESP,33.482528,-119.041599,8/16/2004 2:06,2004,8,16,2,6,8/16/2004 2:24,ASSP,1001-21241,1001-21241,Y,N,N,3,68,29,39,ND,ND,ND,ND,ND,ND,JA,N,RECAPTURE BANDED 7/18/04 ARCH POINT SBI
2004-07-18_SBI_AP_04,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 22:46,2004,7,18,22,46,7/18/2004 23:01,ASSP,1001-21242,1001-21242,N,N,N,1.5,60,27,33,14.44,37.22,22.32,141,ND,N,PM,N,NA
2004-07-18_SBI_AP_05,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 22:52,2004,7,18,22,52,7/18/2004 23:09,ASSP,1001-21243,1001-21243,N,N,N,1.5,64,30,34,14.2,37.93,22.84,140,ND,N,PM,N,"bp not all clear, very pink but not vascularized"
2004-07-18_SBI_AP_06,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 23:09,2004,7,18,23,9,7/18/2004 23:16,ASSP,1001-21244,1001-21244,N,N,N,5,64,26,38,15.54,39.21,24.86,141,ND,N,PM,N,"puked oil, completely feathered, lg food load"
2005-07-31_SBI_AP_01,2005-07-31_SBI_AP,7/31/2005,2005,7,31,SBI,SBI,AP,33.487622,-119.028535,8/1/2005 0:48,2005,8,1,0,48,NA,ASSP,1001-21244,1001-21244,Y,N,N,3,57,19,38,ND,ND,ND,ND,ND,ND,JA,N,RECAPTURE BANDED 7/18/04 ARCH POINT
2004-07-18_SBI_AP_07,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 23:19,2004,7,18,23,19,7/18/2004 23:27,ASSP,1001-21245,1001-21245,N,N,N,1.5,59,26,33,15.5,39.59,23.03,142,ND,N,PM,N,oil on bill
2004-07-18_SBI_AP_08,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 23:56,2004,7,18,23,56,7/19/2004 0:18,ASSP,1001-21246,1001-21246,N,N,N,3,60,26,34,13.56,37.49,22.59,141,ND,N,PM,N,NA
2004-07-18_SBI_AP_09,2004-07-18_SBI_AP,7/18/2004,2004,7,18,SBI,SBI,AP,33.487622,-119.028535,7/18/2004 23:57,2004,7,18,23,57,7/19/2004 0:10,ASSP,1001-21247,1001-21247,N,N,N,2,64,25,39,ND,ND,ND,139,ND,N,PM,N,NA
