"session_ID","island_code","subisland_code","site_code","site_name","lat","long","session_date","session_year","session_month","session_day","series_ID","app_sunset","std_ending","net_open_1","net_close_1","net_open_2","net_close_2","net_open_3","net_close_3","net_open_4","net_close_4","net_open_5","net_close_5","min","min_std","ASSP","ASSPstd","CPUEraw","CPUEstd","BPfreq_Y","BPfreq_N","net_mesh","net_dim","spp_audio_file","dB_level","speaker_system","org","notes","flagged","flagged_notes"
"2018-05-12_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,2018-05-12,2018,5,12,1,2018-05-12 19:48:23,2018-05-13 01:06:23,2018-05-12 20:55:00,2018-05-13 02:10:00,NA,NA,NA,NA,NA,NA,NA,NA,315,251.383333333333,32,32,0.101587301587302,0.127295630842671,0.46875,0.53125,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)",NA,"N",NA
"2018-05-13_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,2018-05-13,2018,5,13,1,2018-05-13 19:49:11,2018-05-14 01:07:11,2018-05-13 20:39:00,2018-05-14 02:05:00,NA,NA,NA,NA,NA,NA,NA,NA,326,268.183333333333,36,36,0.110429447852761,0.13423652973712,0.472222222222222,0.527777777777778,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","2  bounce-outs","N",NA
"2018-05-14_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-05-14,2018,5,14,1,2018-05-14 19:56:17,2018-05-15 01:14:17,2018-05-14 20:52:00,2018-05-15 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,308,262.283333333333,36,36,0.116883116883117,0.137256147931626,0.558823529411765,0.441176470588235,NA,NA,NA,NA,NA,"USGS WERC","100DB, obs: PL, EK, clouds: 0%, wind: 5-10k, first sighting: 21:25, BAOW heard at 20:59","N",NA
"2018-05-15_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-05-15,2018,5,15,2,2018-05-15 19:57:03,2018-05-16 01:15:03,2018-05-15 20:38:00,2018-05-16 01:55:00,NA,NA,NA,NA,NA,NA,NA,NA,317,277.05,15,15,0.0473186119873817,0.0541418516513265,0.428571428571429,0.571428571428571,NA,NA,NA,NA,NA,"USGS WERC","90DB, obs: PL, EK, clouds: 0%, wind: 5-10k, first sighting: 21:15","N",NA
"2018-06-10_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,2018-06-10,2018,6,10,1,2018-06-10 20:06:52,2018-06-11 01:24:52,2018-06-10 22:00:00,2018-06-11 00:00:00,2018-06-11 00:10:00,2018-06-11 03:00:00,NA,NA,NA,NA,NA,NA,290,194.866666666667,36,36,0.124137931034483,0.184741703729045,0.382352941176471,0.617647058823529,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","2 bands overcrimped, took awhile to fix. 10min break for BNOW presence, net closed & audio off, 0:00-0:10","N",NA
"2018-06-11_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,2018-06-11,2018,6,11,1,2018-06-11 20:07:20,2018-06-12 01:25:20,2018-06-11 21:03:00,2018-06-12 01:30:00,2018-06-12 01:30:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,297,262.333333333333,41,41,0.138047138047138,0.156289707750953,0.341463414634146,0.658536585365854,38,"12 x 2.6","ASSP","~100","Multiple","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","1 bounce-out. Speaker cutting out ~01:30. Died 01:40. Kept on until 02:00.","N",NA
"2018-06-11_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-06-11,2018,6,11,1,2018-06-11 20:10:51,2018-06-12 01:28:51,2018-06-11 21:21:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,279,247.85,34,34,0.121863799283154,0.137179745814,0.235294117647059,0.764705882352941,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","5 bounce-outs","N",NA
"2018-06-11_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-06-11,2018,6,11,1,2018-06-11 20:14:00,2018-06-12 01:32:00,2018-06-11 21:09:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,291,263,19,19,0.0652920962199313,0.0722433460076046,0.368421052631579,0.631578947368421,NA,NA,NA,NA,NA,"USGS WERC","100DB; obs: EK, JA; AO and JM from Audubon present; first fly-by at 21:19, cloud cover = 100%, wind = 5-10kn, 30mm net","N",NA
"2018-06-12_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-06-12,2018,6,12,2,2018-06-12 20:11:16,2018-06-13 01:29:16,2018-06-12 21:00:00,2018-06-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,300,269.266666666667,27,27,0.09,0.100272344639762,0.148148148148148,0.851851851851852,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","9 bounce-outs","N",NA
"2018-06-12_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-06-12,2018,6,12,2,2018-06-12 20:14:25,2018-06-13 01:32:25,2018-06-12 20:55:00,2018-06-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,305,277.416666666667,44,44,0.144262295081967,0.158606188044458,0.363636363636364,0.636363636363636,NA,NA,NA,NA,NA,"USGS WERC","100DB; obs: EK, JA; AO and JM from Audubon present; first ASSP heard at 21:13; cloud cover = 100%, cleared at 22:15; wind = 5-10kn, 30mm net","N",NA
"2018-06-13_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-06-13,2018,6,13,3,2018-06-13 20:11:39,2018-06-14 01:29:39,2018-06-13 21:00:00,2018-06-14 02:02:00,NA,NA,NA,NA,NA,NA,NA,NA,302,269.65,13,13,0.043046357615894,0.0482106434266642,0.384615384615385,0.615384615384615,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","2 bounce-outs","N",NA
"2018-06-13_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-06-13,2018,6,13,3,2018-06-13 20:14:49,2018-06-14 01:32:49,2018-06-13 20:53:00,2018-06-14 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,307,279.816666666667,14,14,0.0456026058631922,0.0500327595449401,0.428571428571429,0.571428571428571,NA,NA,NA,NA,NA,"USGS WERC","100DB; obs: EK, JA; AO and JM from Audubon present; first fly-by at 21:13, cloud cover = 100%, wind = 5-10kn, 30mm net","N",NA
"2018-07-06_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,2018-07-06,2018,7,6,1,2018-07-06 20:10:41,2018-07-07 01:28:41,2018-07-06 21:06:00,2018-07-07 00:29:00,NA,NA,NA,NA,NA,NA,NA,NA,203,203,19,19,0.0935960591133005,0.0935960591133005,0.315789473684211,0.684210526315789,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","Ended early due to wind. 3 bounce outs. ","N",NA
"2018-07-07_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,2018-07-07,2018,7,7,2,2018-07-07 20:10:30,2018-07-08 01:28:30,2018-07-07 21:00:00,2018-07-07 22:45:00,2018-07-07 23:45:00,2018-07-08 02:00:00,NA,NA,NA,NA,NA,NA,240,208.5,30,30,0.125,0.143884892086331,0.448275862068966,0.551724137931034,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","Closed net 22:45-23:45 due to wind. 4 bounce-outs (unk when?).","N",NA
"2018-07-08_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,2018-07-08,2018,7,8,1,2018-07-08 20:10:14,2018-07-09 01:28:14,2018-07-08 21:00:00,2018-07-09 00:35:00,2018-07-09 00:45:00,2018-07-09 01:05:00,NA,NA,NA,NA,NA,NA,235,235,20,20,0.0851063829787234,0.0851063829787234,0.368421052631579,0.631578947368421,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","6 bounce-outs. 0:35 speaker out of batteries, connected to external battery and charged for ten minutes. Light boat in Landing Cove at start. ","N",NA
"2018-07-10_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-07-10,2018,7,10,1,2018-07-10 20:16:23,2018-07-11 01:34:23,2018-07-10 20:48:00,2018-07-11 02:05:00,NA,NA,NA,NA,NA,NA,NA,NA,317,286.383333333333,12,12,0.0378548895899054,0.041901879764884,0.333333333333333,0.666666666666667,NA,NA,NA,NA,NA,"USGS WERC","obs: AJD, PTL;  Clouds=15%; temp=65F; wind=5-10kts; moon=7% waning; wind blow from south 2330","N",NA
"2018-07-11_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-07-11,2018,7,11,1,2018-07-11 20:12:55,2018-07-12 01:30:55,2018-07-11 21:00:00,2018-07-12 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,300,270.916666666667,25,25,0.0833333333333333,0.0922792986773299,0.16,0.84,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","5 bounce-outs","N",NA
"2018-07-11_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-07-11,2018,7,11,2,2018-07-11 20:16:04,2018-07-12 01:34:04,2018-07-11 20:40:00,2018-07-12 02:02:00,NA,NA,NA,NA,NA,NA,NA,NA,322,294.066666666667,5,5,0.015527950310559,0.0170029471775108,0.4,0.6,NA,NA,NA,NA,NA,"USGS WERC","obs: AJD, PTL;  Clouds=85%, wind=7-12kn; temp=low60s-high50s; moon=2% waning; slight mist 21:46; flashlight check resulted in net avoidance unk spp 22:06","N",NA
"2018-07-12_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-07-12,2018,7,12,2,2018-07-12 20:12:35,2018-07-13 01:30:35,NA,2018-07-13 01:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,NA,NA,0.285714285714286,0.714285714285714,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","3 bounce-outs. No start time nor end time recorded. Used last capture for end time.","Y","No net open time"
"2018-08-06_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-08-06,2018,8,6,1,2018-08-06 19:56:13,2018-08-07 01:14:13,2018-08-06 22:05:00,2018-08-07 02:03:00,NA,NA,NA,NA,NA,NA,NA,NA,238,189.216666666667,6,6,0.0252100840336134,0.031709680260724,0.333333333333333,0.666666666666667,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","12 bounce-outs","N",NA
"2018-08-08_SCI_SR","SCI","SR","SR","Scorpion Rock",34.047666,-119.547674,2018-08-08,2018,8,8,2,2018-08-08 19:54:18,2018-08-09 01:12:18,2018-08-08 21:02:00,2018-08-09 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,298,250.3,10,10,0.0335570469798658,0.0399520575309628,0.6,0.4,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","4 bounce-outs","N",NA
"2018-08-09_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-08-09,2018,8,9,1,2018-08-09 19:56:28,2018-08-10 01:14:28,2018-08-09 20:40:00,2018-08-10 02:01:00,NA,NA,NA,NA,NA,NA,NA,NA,321,274.466666666667,38,38,0.118380062305296,0.138450327908671,0.567567567567568,0.432432432432432,NA,NA,NA,NA,NA,"USGS WERC","obs: AJD, PTL; clouds=10%; wind=0-3kts NW, up to 5-8kts by 2100; temp=70F; moon=3% waning; BNOW vocalization throughout night","N",NA
"2018-08-10_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-08-10,2018,8,10,2,2018-08-10 19:55:27,2018-08-11 01:13:27,2018-08-10 20:26:00,2018-08-11 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,334,287.45,25,25,0.0748502994011976,0.0869716472429988,0.56,0.44,NA,NA,NA,NA,NA,"USGS WERC","obs: AJD, PTL; clouds=0%; wind=0-3kts NW, ; moon=0% waning; BNOW vocalization ~2100; 1 squid and 2 fishing boats motored by","N",NA
"2018-08-11_SMI_PI","SMI","PI","PI","Prince Island",34.056323,-120.332024,2018-08-11,2018,8,11,3,2018-08-11 19:54:26,2018-08-12 01:12:26,2018-08-11 20:30:00,2018-08-12 02:02:00,NA,NA,NA,NA,NA,NA,NA,NA,332,282.433333333333,11,11,0.0331325301204819,0.0389472441874189,0.727272727272727,0.272727272727273,NA,NA,NA,NA,NA,"USGS WERC","obs: AJD, PTL; clouds=0%; wind=0-3kts NW, ; moon phase = new moon; BNOW vocalization ~0000","N",NA
"2018-08-13_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,2018-08-13,2018,8,13,1,2018-08-13 19:46:13,2018-08-14 01:04:13,2018-08-13 21:10:00,2018-08-14 02:10:00,NA,NA,NA,NA,NA,NA,NA,NA,300,234.216666666667,13,13,0.0433333333333333,0.0555041628122108,0.615384615384615,0.384615384615385,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","No end time listed, used last capture time. 2 bounce-outs.","N",NA
"2018-08-14_SBI_AP","SBI","SBI","AP","Arch Point",33.487622,-119.028535,2018-08-14,2018,8,14,2,2018-08-14 19:45:09,2018-08-15 01:03:09,2018-08-14 21:08:00,2018-08-15 01:50:00,NA,NA,NA,NA,NA,NA,NA,NA,282,235.15,8,8,0.0283687943262411,0.0340208377631299,0.75,0.25,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","No end time listed, used last capture time. 3 bounce-outs.","N",NA
"2018-08-15_SBI_ESP","SBI","SBI","ESP","Elephant Seal Point",33.482528,-119.041599,2018-08-15,2018,8,15,1,2018-08-15 19:44:07,2018-08-16 01:02:07,2018-08-15 21:00:00,2018-08-16 02:11:00,NA,NA,NA,NA,NA,NA,NA,NA,311,242.116666666667,14,14,0.045016077170418,0.0578233633923039,0.692307692307692,0.307692307692308,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","1 bounce-out.   ","N",NA
