"session_ID","island_code","site_code","lat","long","session_year","session_date","start","end","flagged","DateTime_h","Longitude360","Latitude","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu","wind_sp_mdnt","subisland_code","site_name","session_month","session_day","series_ID","app_sunset","std_ending","net_open_1","net_close_1","net_open_2","net_close_2","net_open_3","net_close_3","net_open_4","net_close_4","net_open_5","net_close_5","min","min_std","ASSP","ASSPstd","CPUEraw","CPUEstd","BPfreq_Y","BPfreq_N","net_mesh","net_dim","spp_audio_file","dB_level","speaker_system","org","notes","flagged_notes","moonT","moonT_std","moonIndex","moonIndex_std","wind_sp"
"2018-05-12_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-05-12,2018-05-12 20:55:00,2018-05-13 02:10:00,"N",2018-05-13,240.971465,33.487622,1.19361873366685e-05,2.17574274503384,0.856251115635816,1.09715473808053,270.404992832646,9.25426637379159,0.697236506798102,0.697236506798102,101631.379027551,101834.706622999,289.4747697089,287.760671049825,284.175541743848,0,-49.8280123963917,0.0625397825567556,2.33816647516702,"SBI","Arch Point",5,12,1,2018-05-12 19:48:23,2018-05-13 01:06:23,2018-05-12 20:55:00,2018-05-13 02:10:00,NA,NA,NA,NA,NA,NA,NA,NA,315,251.383333333333,32,32,0.101587301587302,0.127295630842671,0.46875,0.53125,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)",NA,NA,0,0,0,0,2.33816647516702
"2018-05-13_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-05-13,2018-05-13 20:39:00,2018-05-14 02:05:00,"N",2018-05-14,240.958401,33.482528,0,6.00751247047721,-1.59620314564278,1.29389260575955,269.058566286368,8.2510307120199,0,0,101553.139697748,101755.51005791,289.68709549443,287.52111982003,283.960338620994,0,-47.2688743131646,0.0193748925707529,6.21595290885469,"SBI","Elephant Seal Point",5,13,1,2018-05-13 19:49:11,2018-05-14 01:07:11,2018-05-13 20:39:00,2018-05-14 02:05:00,NA,NA,NA,NA,NA,NA,NA,NA,326,268.183333333333,36,36,0.110429447852761,0.13423652973712,0.472222222222222,0.527777777777778,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","2  bounce-outs",NA,0,0,0,0,6.21595290885469
"2018-05-14_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-05-14,2018-05-14 20:52:00,2018-05-15 02:00:00,"N",2018-05-15,239.667976,34.056323,0,5.79987723281677,-4.11257980114071,1.46032360919263,268.31080956353,9.4785780275459,0.0765721087085895,0.0765721087085895,101628.861833923,101570.933047091,286.861420659486,286.070966940529,283.35928302396,0,-40.9160558972264,0.000558455572596706,7.10998512913331,"PI","Prince Island",5,14,1,2018-05-14 19:56:17,2018-05-15 01:14:17,2018-05-14 20:52:00,2018-05-15 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,308,262.283333333333,36,36,0.116883116883117,0.137256147931626,0.558823529411765,0.441176470588235,NA,NA,NA,NA,NA,"USGS WERC","100DB, obs: PL, EK, clouds: 0%, wind: 5-10k, first sighting: 21:25, BAOW heard at 20:59",NA,0,0,0,0,7.10998512913331
"2018-05-15_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-05-15,2018-05-15 20:38:00,2018-05-16 01:55:00,"N",2018-05-16,239.667976,34.056323,0,5.30729059171599,-5.97680831452112,1.51184475972402,277.213526794414,7.73395330331488,0.01957792257336,0.01957792257336,101753.318489349,101695.919157142,286.762867437732,286.651097527468,284.057432217438,0,-33.0624792021832,0.00891683300022927,7.99309521108349,"PI","Prince Island",5,15,2,2018-05-15 19:57:03,2018-05-16 01:15:03,2018-05-15 20:38:00,2018-05-16 01:55:00,NA,NA,NA,NA,NA,NA,NA,NA,317,277.05,15,15,0.0473186119873817,0.0541418516513265,0.428571428571429,0.571428571428571,NA,NA,NA,NA,NA,"USGS WERC","90DB, obs: PL, EK, clouds: 0%, wind: 5-10k, first sighting: 21:15",NA,1,1,0.00557754623768003,0.00557754623768003,7.99309521108349
"2018-06-10_SBI_AP","SBI","AP",33.487622,-119.028535,2018,2018-06-10,2018-06-10 22:00:00,2018-06-11 03:00:00,"N",2018-06-11,240.971465,33.487622,0,0.0766979927287794,-0.617456978415515,2.13539954423856,277.929469023143,9.1467541039285,0,0,100920.74638064,101119.615813788,290.872856071798,290.883169253855,287.665867392639,0,-40.6795205313375,0.0895309912048639,0.622202300126447,"SBI","Arch Point",6,10,1,2018-06-10 20:06:52,2018-06-11 01:24:52,2018-06-10 22:00:00,2018-06-11 00:00:00,2018-06-11 00:10:00,2018-06-11 03:00:00,NA,NA,NA,NA,NA,NA,290,194.866666666667,36,36,0.124137931034483,0.184741703729045,0.382352941176471,0.617647058823529,38,"12 x 2.6","ASSP","~100","JBL charge speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","2 bands overcrimped, took awhile to fix. 10min break for BNOW presence, net closed & audio off, 0:00-0:10",NA,0,0,0,0,0.622202300126447
"2018-06-11_SBI_ESP","SBI","ESP",33.482528,-119.041599,2018,2018-06-11,2018-06-11 21:03:00,2018-06-12 02:00:00,"N",2018-06-12,240.958401,33.482528,0,4.22648515477621,-0.287365926299253,1.6367030236515,249.974049827896,10.0288594265523,0.00933880640288098,0.00933880640288098,100895.120524202,101095.108733386,291.156489263997,289.953432741692,287.283377467254,0,-40.4451371732496,0.0343117636953988,4.23624313975738,"SBI","Elephant Seal Point",6,11,1,2018-06-11 20:07:20,2018-06-12 01:25:20,2018-06-11 21:03:00,2018-06-12 01:30:00,2018-06-12 01:30:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,297,262.333333333333,41,41,0.138047138047138,0.156289707750953,0.341463414634146,0.658536585365854,38,"12 x 2.6","ASSP","~100","Multiple","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","1 bounce-out. Speaker cutting out ~01:30. Died 01:40. Kept on until 02:00.",NA,0,0,0,0,4.23624313975738
"2018-06-11_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-06-11,2018-06-11 21:21:00,2018-06-12 02:00:00,"N",2018-06-12,240.452326,34.047666,0,3.01536064595587,1.55345930613746,1.29869564465939,264.01153351883,8.48376101528369,0.00964399615460915,0.00964399615460915,100829.137038782,100927.170740314,289.810304759784,289.035500203172,286.98074807574,0,-39.9550690284008,0.0343117636953988,3.39199581972096,"SR","Scorpion Rock",6,11,1,2018-06-11 20:10:51,2018-06-12 01:28:51,2018-06-11 21:21:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,279,247.85,34,34,0.121863799283154,0.137179745814,0.235294117647059,0.764705882352941,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","5 bounce-outs",NA,0,0,0,0,3.39199581972096
"2018-06-11_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-06-11,2018-06-11 21:09:00,2018-06-12 02:00:00,"N",2018-06-12,239.667976,34.056323,0,6.85880073604526,-5.05814221180602,2.08413255019323,283.921043931822,8.35048354021108,0.0195321441106008,0.0195321441106008,100861.489166718,100804.119399768,287.107867571252,286.841349808523,284.917824390255,0,-40.0416267047451,0.0343117636953988,8.522203363663,"PI","Prince Island",6,11,1,2018-06-11 20:14:00,2018-06-12 01:32:00,2018-06-11 21:09:00,2018-06-12 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,291,263,19,19,0.0652920962199313,0.0722433460076046,0.368421052631579,0.631578947368421,NA,NA,NA,NA,NA,"USGS WERC","100DB; obs: EK, JA; AO and JM from Audubon present; first fly-by at 21:19, cloud cover = 100%, wind = 5-10kn, 30mm net",NA,0,0,0,0,8.522203363663
"2018-06-12_SCI_SR","SCI","SR",34.047666,-119.547674,2018,2018-06-12,2018-06-12 21:00:00,2018-06-13 02:00:00,"N",2018-06-13,240.452326,34.047666,0,1.72805459014067,1.65126406232006,1.04841893516168,247.662691997538,9.95923221621548,0.00357072009521919,0.00357072009521919,100960.980213213,101059.251005219,289.989353755535,289.002171336418,286.763863678488,0,-36.9830868331844,0.00432607050400502,2.39015599282055,"SR","Scorpion Rock",6,12,2,2018-06-12 20:11:16,2018-06-13 01:29:16,2018-06-12 21:00:00,2018-06-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,300,269.266666666667,27,27,0.09,0.100272344639762,0.148148148148148,0.851851851851852,30,"12 x 2.6","ASSP","~100","JBL charge3 speaker","Calif. Institute of Env'l Studies (CIES)/Channel Islands National Park (CHIS)","9 bounce-outs",NA,0,0,0,0,2.39015599282055
"2018-06-12_SMI_PI","SMI","PI",34.056323,-120.332024,2018,2018-06-12,2018-06-12 20:55:00,2018-06-13 02:00:00,"N",2018-06-13,239.667976,34.056323,0,3.58299421526647,-2.75344299290328,1.71453715079074,271.511301226311,9.66944697692961,0.125837364381304,0.125837364381304,100958.999470687,100902.663659912,287.497738156492,286.988552303354,285.240208755937,0,-36.8750445189312,0.00432607050400502,4.51877149917997,"PI","Prince Island",6,12,2,2018-06-12 20:14:25,2018-06-13 01:32:25,2018-06-12 20:55:00,2018-06-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,305,277.416666666667,44,44,0.144262295081967,0.158606188044458,0.363636363636364,0.636363636363636,NA,NA,NA,NA,NA,"USGS WERC","100DB; obs: EK, JA; AO and JM from Audubon present; first ASSP heard at 21:13; cloud cover = 100%, cleared at 22:15; wind = 5-10kn, 30mm net",NA,0,0,0,0,4.51877149917997
